areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate
K02000001,United Kingdom,overview,2020-09-14,982,255,2621,,
K02000001,United Kingdom,overview,2020-09-13,843,226,3330,,
K02000001,United Kingdom,overview,2020-09-12,812,216,3497,,
K02000001,United Kingdom,overview,2020-09-11,770,231,3539,,
K02000001,United Kingdom,overview,2020-09-10,944,218,2919,,
K02000001,United Kingdom,overview,2020-09-09,924,202,2659,,
K02000001,United Kingdom,overview,2020-09-08,894,184,2460,,
K02000001,United Kingdom,overview,2020-09-07,902,142,2948,,
K02000001,United Kingdom,overview,2020-09-06,817,138,2988,,
K02000001,United Kingdom,overview,2020-09-05,812,130,1813,,
K02000001,United Kingdom,overview,2020-09-04,818,153,1940,,
K02000001,United Kingdom,overview,2020-09-03,817,145,1735,,
K02000001,United Kingdom,overview,2020-09-02,803,146,1508,,
K02000001,United Kingdom,overview,2020-09-01,861,134,1295,,
K02000001,United Kingdom,overview,2020-08-31,854,91,1406,,
K02000001,United Kingdom,overview,2020-08-30,831,77,1715,,
K02000001,United Kingdom,overview,2020-08-29,833,110,1108,,
K02000001,United Kingdom,overview,2020-08-28,818,137,1276,,
K02000001,United Kingdom,overview,2020-08-27,840,152,1522,,
K02000001,United Kingdom,overview,2020-08-26,829,132,1048,,
K02000001,United Kingdom,overview,2020-08-25,844,122,1184,,
K02000001,United Kingdom,overview,2020-08-24,876,92,853,,
K02000001,United Kingdom,overview,2020-08-23,870,74,1160,,
K02000001,United Kingdom,overview,2020-08-22,943,72,1288,,
K02000001,United Kingdom,overview,2020-08-21,888,109,1033,,
K02000001,United Kingdom,overview,2020-08-20,909,98,1182,,
K02000001,United Kingdom,overview,2020-08-19,924,115,812,,
K02000001,United Kingdom,overview,2020-08-18,953,130,1089,,
K02000001,United Kingdom,overview,2020-08-17,982,97,713,,
K02000001,United Kingdom,overview,2020-08-16,979,80,1040,,
K02000001,United Kingdom,overview,2020-08-15,974,99,1077,,
K02000001,United Kingdom,overview,2020-08-14,995,102,1441,,
K02000001,United Kingdom,overview,2020-08-13,1008,130,1129,,
K02000001,United Kingdom,overview,2020-08-12,1004,101,1009,,
K02000001,United Kingdom,overview,2020-08-11,1039,114,1148,,
K02000001,United Kingdom,overview,2020-08-10,1087,86,740,,
K02000001,United Kingdom,overview,2020-08-09,983,106,1062,,
K02000001,United Kingdom,overview,2020-08-08,1027,141,758,,
K02000001,United Kingdom,overview,2020-08-07,1094,116,871,,
K02000001,United Kingdom,overview,2020-08-06,1155,102,950,,
K02000001,United Kingdom,overview,2020-08-05,1200,140,892,,
K02000001,United Kingdom,overview,2020-08-04,1216,128,670,,
K02000001,United Kingdom,overview,2020-08-03,1251,110,898,,
K02000001,United Kingdom,overview,2020-08-02,1254,93,744,,
K02000001,United Kingdom,overview,2020-08-01,1290,127,761,,
K02000001,United Kingdom,overview,2020-07-31,1266,114,880,,
K02000001,United Kingdom,overview,2020-07-30,1314,132,846,,
K02000001,United Kingdom,overview,2020-07-29,1350,133,763,,
K02000001,United Kingdom,overview,2020-07-28,1369,119,581,,
K02000001,United Kingdom,overview,2020-07-27,1370,130,685,,
